area,year,measurement,units,value,region_of_residence,breakdown_of_domestic_tourism
City of Edinburgh,2012-2014,Count,Thousand Visits,2277,All of GB,Visits
City of Edinburgh,2015-2017,Count,Thousand Nights,1282,Scotland,Nights
City of Edinburgh,2012-2014,Count,million pounds (GBP),125,Scotland,Expenditure
City of Edinburgh,2016-2018,Count,Thousand Nights,4729,England,Nights
City of Edinburgh,2009-2011,Count,Thousand Nights,1229,Scotland,Nights
City of Edinburgh,2011-2013,Count,Thousand Nights,1293,Scotland,Nights
City of Edinburgh,2012-2014,Count,Thousand Visits,700,Scotland,Visits
City of Edinburgh,2014-2016,Count,Thousand Visits,1575,England,Visits
City of Edinburgh,2013-2015,Count,Thousand Visits,1527,England,Visits
City of Edinburgh,2010-2012,Count,Thousand Visits,2230,All of GB,Visits
City of Edinburgh,2009-2011,Count,Thousand Visits,2093,All of GB,Visits
City of Edinburgh,2013-2015,Count,Thousand Visits,692,Scotland,Visits
City of Edinburgh,2009-2011,Count,million pounds (GBP),381,England,Expenditure
City of Edinburgh,2017-2019,Count,million pounds (GBP),544,England,Expenditure
City of Edinburgh,2013-2015,Count,million pounds (GBP),619,All of GB,Expenditure
City of Edinburgh,2012-2014,Count,Thousand Nights,4179,England,Nights
City of Edinburgh,2016-2018,Count,million pounds (GBP),717,All of GB,Expenditure
City of Edinburgh,2014-2016,Count,Thousand Visits,672,Scotland,Visits
City of Edinburgh,2015-2017,Count,million pounds (GBP),144,Scotland,Expenditure
City of Edinburgh,2010-2012,Count,million pounds (GBP),434,England,Expenditure
City of Edinburgh,2015-2017,Count,Thousand Nights,4861,England,Nights
City of Edinburgh,2013-2015,Count,Thousand Nights,1339,Scotland,Nights
Renfrewshire,2012-2014,Count,million pounds (GBP),20,All of GB,Expenditure
Renfrewshire,2017-2019,Count,million pounds (GBP),3,Scotland,Expenditure
Renfrewshire,2012-2014,Count,million pounds (GBP),12,Scotland,Expenditure
Renfrewshire,2009-2011,Count,million pounds (GBP),2,Scotland,Expenditure
Renfrewshire,2011-2013,Count,million pounds (GBP),11,Scotland,Expenditure
Renfrewshire,2017-2019,Count,Thousand Visits,34,Scotland,Visits
Renfrewshire,2015-2017,Count,Thousand Visits,44,England,Visits
Renfrewshire,2014-2016,Count,Thousand Visits,51,All of GB,Visits
Renfrewshire,2015-2017,Count,million pounds (GBP),11,All of GB,Expenditure
Renfrewshire,2016-2018,Count,Thousand Nights,179,All of GB,Nights
Renfrewshire,2014-2016,Count,Thousand Visits,18,Scotland,Visits
Renfrewshire,2017-2019,Count,million pounds (GBP),8,All of GB,Expenditure
Renfrewshire,2017-2019,Count,Thousand Visits,68,All of GB,Visits
Renfrewshire,2010-2012,Count,Thousand Nights,195,All of GB,Nights
Renfrewshire,2014-2016,Count,million pounds (GBP),5,Scotland,Expenditure
Renfrewshire,2016-2018,Count,Thousand Nights,111,England,Nights
Renfrewshire,2012-2014,Count,Thousand Nights,200,All of GB,Nights
Renfrewshire,2011-2013,Count,Thousand Nights,232,All of GB,Nights
Renfrewshire,2010-2012,Count,Thousand Nights,115,England,Nights
Renfrewshire,2011-2013,Count,million pounds (GBP),7,England,Expenditure
Renfrewshire,2013-2015,Count,million pounds (GBP),6,England,Expenditure
Renfrewshire,2014-2016,Count,million pounds (GBP),12,All of GB,Expenditure
Renfrewshire,2009-2011,Count,million pounds (GBP),5,England,Expenditure
Renfrewshire,2014-2016,Count,Thousand Visits,33,England,Visits
Renfrewshire,2013-2015,Count,Thousand Visits,29,England,Visits
Renfrewshire,2010-2012,Count,Thousand Nights,77,Scotland,Nights
Renfrewshire,2011-2013,Count,million pounds (GBP),18,All of GB,Expenditure
Renfrewshire,2017-2019,Count,Thousand Nights,70,England,Nights
Renfrewshire,2010-2012,Count,million pounds (GBP),6,England,Expenditure
Renfrewshire,2014-2016,Count,million pounds (GBP),7,England,Expenditure
Renfrewshire,2017-2019,Count,Thousand Nights,58,Scotland,Nights
Renfrewshire,2016-2018,Count,Thousand Visits,40,England,Visits
Renfrewshire,2013-2015,Count,Thousand Nights,89,Scotland,Nights
Renfrewshire,2013-2015,Count,Thousand Nights,80,England,Nights
Renfrewshire,2015-2017,Count,Thousand Nights,141,England,Nights
Renfrewshire,2010-2012,Count,million pounds (GBP),8,All of GB,Expenditure
Renfrewshire,2009-2011,Count,Thousand Nights,86,Scotland,Nights
Renfrewshire,2014-2016,Count,Thousand Nights,167,All of GB,Nights
Renfrewshire,2013-2015,Count,million pounds (GBP),14,Scotland,Expenditure
Renfrewshire,2015-2017,Count,million pounds (GBP),4,Scotland,Expenditure
Renfrewshire,2015-2017,Count,Thousand Visits,18,Scotland,Visits
Renfrewshire,2011-2013,Count,Thousand Visits,105,All of GB,Visits
Renfrewshire,2009-2011,Count,Thousand Visits,30,England,Visits
Renfrewshire,2017-2019,Count,Thousand Nights,128,All of GB,Nights
Renfrewshire,2010-2012,Count,Thousand Visits,47,Scotland,Visits
Renfrewshire,2010-2012,Count,Thousand Visits,37,England,Visits
Renfrewshire,2016-2018,Count,Thousand Nights,69,Scotland,Nights
Renfrewshire,2010-2012,Count,Thousand Visits,85,All of GB,Visits
Renfrewshire,2011-2013,Count,Thousand Nights,117,Scotland,Nights
Renfrewshire,2012-2014,Count,million pounds (GBP),8,England,Expenditure
Renfrewshire,2017-2019,Count,million pounds (GBP),6,England,Expenditure
Renfrewshire,2016-2018,Count,million pounds (GBP),6,England,Expenditure
Renfrewshire,2012-2014,Count,Thousand Nights,92,Scotland,Nights
Renfrewshire,2012-2014,Count,Thousand Visits,87,All of GB,Visits
Renfrewshire,2011-2013,Count,Thousand Nights,114,England,Nights
Renfrewshire,2009-2011,Count,Thousand Visits,84,All of GB,Visits
Renfrewshire,2011-2013,Count,Thousand Visits,33,England,Visits
Renfrewshire,2012-2014,Count,Thousand Nights,108,England,Nights
Renfrewshire,2012-2014,Count,Thousand Visits,58,Scotland,Visits
Renfrewshire,2017-2019,Count,Thousand Visits,35,England,Visits
Renfrewshire,2010-2012,Count,million pounds (GBP),2,Scotland,Expenditure
Renfrewshire,2014-2016,Count,Thousand Nights,120,England,Nights
Renfrewshire,2009-2011,Count,million pounds (GBP),7,All of GB,Expenditure
Renfrewshire,2015-2017,Count,Thousand Nights,55,Scotland,Nights
Renfrewshire,2013-2015,Count,Thousand Visits,48,Scotland,Visits
Renfrewshire,2013-2015,Count,Thousand Nights,169,All of GB,Nights
Renfrewshire,2009-2011,Count,Thousand Nights,167,All of GB,Nights
Renfrewshire,2015-2017,Count,million pounds (GBP),7,England,Expenditure
Renfrewshire,2015-2017,Count,Thousand Visits,62,All of GB,Visits
Renfrewshire,2013-2015,Count,million pounds (GBP),20,All of GB,Expenditure
Renfrewshire,2016-2018,Count,million pounds (GBP),8,All of GB,Expenditure
Renfrewshire,2013-2015,Count,Thousand Visits,77,All of GB,Visits
Renfrewshire,2011-2013,Count,Thousand Visits,72,Scotland,Visits
Renfrewshire,2015-2017,Count,Thousand Nights,195,All of GB,Nights
Renfrewshire,2012-2014,Count,Thousand Visits,29,England,Visits
Renfrewshire,2016-2018,Count,million pounds (GBP),2,Scotland,Expenditure
Renfrewshire,2009-2011,Count,Thousand Nights,77,England,Nights
Renfrewshire,2016-2018,Count,Thousand Visits,71,All of GB,Visits
Renfrewshire,2014-2016,Count,Thousand Nights,46,Scotland,Nights
Renfrewshire,2009-2011,Count,Thousand Visits,52,Scotland,Visits
Renfrewshire,2016-2018,Count,Thousand Visits,31,Scotland,Visits
Angus,2010-2012,Count,Thousand Visits,74,England,Visits
Angus,2013-2015,Count,million pounds (GBP),10,Scotland,Expenditure
Angus,2014-2016,Count,million pounds (GBP),23,All of GB,Expenditure
Angus,2015-2017,Count,million pounds (GBP),9,Scotland,Expenditure
Angus,2012-2014,Count,million pounds (GBP),12,Scotland,Expenditure
Angus,2013-2015,Count,Thousand Visits,86,Scotland,Visits
Angus,2013-2015,Count,million pounds (GBP),24,All of GB,Expenditure
Angus,2014-2016,Count,million pounds (GBP),9,Scotland,Expenditure
Angus,2014-2016,Count,Thousand Visits,126,All of GB,Visits
Angus,2009-2011,Count,million pounds (GBP),20,Scotland,Expenditure
Angus,2011-2013,Count,million pounds (GBP),16,Scotland,Expenditure
Angus,2011-2013,Count,Thousand Visits,186,All of GB,Visits
Angus,2010-2012,Count,million pounds (GBP),33,All of GB,Expenditure
Angus,2009-2011,Count,Thousand Visits,158,Scotland,Visits
Angus,2017-2019,Count,million pounds (GBP),10,Scotland,Expenditure
Angus,2014-2016,Count,Thousand Visits,74,Scotland,Visits
Angus,2016-2018,Count,Thousand Visits,26,England,Visits
Angus,2010-2012,Count,Thousand Visits,127,Scotland,Visits
Angus,2011-2013,Count,million pounds (GBP),27,All of GB,Expenditure
Angus,2015-2017,Count,Thousand Visits,127,All of GB,Visits
Angus,2017-2019,Count,Thousand Visits,77,Scotland,Visits
Angus,2016-2018,Count,Thousand Visits,117,All of GB,Visits
Angus,2017-2019,Count,million pounds (GBP),12,England,Expenditure
Angus,2013-2015,Count,Thousand Visits,50,England,Visits
Angus,2015-2017,Count,Thousand Visits,46,England,Visits
Angus,2009-2011,Count,million pounds (GBP),34,All of GB,Expenditure
Angus,2016-2018,Count,million pounds (GBP),6,England,Expenditure
Angus,2012-2014,Count,Thousand Visits,131,All of GB,Visits
Angus,2012-2014,Count,million pounds (GBP),7,England,Expenditure
Angus,2009-2011,Count,million pounds (GBP),13,England,Expenditure
Angus,2014-2016,Count,million pounds (GBP),12,England,Expenditure
Angus,2010-2012,Count,million pounds (GBP),12,England,Expenditure
Angus,2011-2013,Count,Thousand Visits,59,England,Visits
Angus,2015-2017,Count,Thousand Nights,409,All of GB,Nights
Angus,2011-2013,Count,Thousand Nights,256,England,Nights
Angus,2011-2013,Count,Thousand Nights,358,Scotland,Nights
Angus,2015-2017,Count,Thousand Visits,82,Scotland,Visits
Angus,2016-2018,Count,Thousand Nights,224,Scotland,Nights
Angus,2012-2014,Count,Thousand Visits,42,England,Visits
Angus,2009-2011,Count,Thousand Visits,237,All of GB,Visits
Angus,2017-2019,Count,Thousand Visits,124,All of GB,Visits
Angus,2010-2012,Count,Thousand Visits,206,All of GB,Visits
Angus,2016-2018,Count,million pounds (GBP),17,All of GB,Expenditure
Angus,2017-2019,Count,million pounds (GBP),22,All of GB,Expenditure
Angus,2014-2016,Count,Thousand Visits,48,England,Visits
Angus,2009-2011,Count,Thousand Visits,69,England,Visits
Angus,2013-2015,Count,million pounds (GBP),13,England,Expenditure
Angus,2017-2019,Count,Thousand Visits,44,England,Visits
Angus,2011-2013,Count,million pounds (GBP),11,England,Expenditure
Angus,2013-2015,Count,Thousand Visits,139,All of GB,Visits
Angus,2015-2017,Count,million pounds (GBP),13,England,Expenditure
Angus,2012-2014,Count,Thousand Nights,282,Scotland,Nights
Angus,2017-2019,Count,Thousand Nights,122,England,Nights
Angus,2011-2013,Count,Thousand Nights,621,All of GB,Nights
Angus,2012-2014,Count,Thousand Nights,155,England,Nights
Angus,2012-2014,Count,Thousand Nights,451,All of GB,Nights
Angus,2014-2016,Count,Thousand Nights,245,Scotland,Nights
Angus,2010-2012,Count,Thousand Nights,833,All of GB,Nights
Angus,2009-2011,Count,Thousand Nights,1064,All of GB,Nights
Angus,2017-2019,Count,Thousand Nights,208,Scotland,Nights
Angus,2016-2018,Count,Thousand Nights,330,All of GB,Nights
Angus,2014-2016,Count,Thousand Nights,196,England,Nights
Angus,2013-2015,Count,Thousand Nights,246,Scotland,Nights
Angus,2015-2017,Count,Thousand Nights,193,England,Nights
Angus,2010-2012,Count,Thousand Nights,492,Scotland,Nights
Angus,2013-2015,Count,Thousand Nights,199,England,Nights
Angus,2010-2012,Count,Thousand Nights,325,England,Nights
Angus,2012-2014,Count,Thousand Visits,86,Scotland,Visits
Angus,2016-2018,Count,Thousand Nights,103,England,Nights
Angus,2013-2015,Count,Thousand Nights,460,All of GB,Nights
Angus,2014-2016,Count,Thousand Nights,456,All of GB,Nights
Angus,2015-2017,Count,Thousand Nights,216,Scotland,Nights
Angus,2009-2011,Count,Thousand Nights,484,England,Nights
Angus,2017-2019,Count,Thousand Nights,332,All of GB,Nights
Angus,2009-2011,Count,Thousand Nights,540,Scotland,Nights
Angus,2012-2014,Count,million pounds (GBP),19,All of GB,Expenditure
Angus,2010-2012,Count,million pounds (GBP),21,Scotland,Expenditure
Angus,2015-2017,Count,million pounds (GBP),23,All of GB,Expenditure
Angus,2016-2018,Count,Thousand Visits,89,Scotland,Visits
Angus,2011-2013,Count,Thousand Visits,125,Scotland,Visits
Angus,2016-2018,Count,million pounds (GBP),10,Scotland,Expenditure
Dundee City,2010-2012,Count,million pounds (GBP),45,All of GB,Expenditure
Dundee City,2017-2019,Count,Thousand Visits,95,England,Visits
Dundee City,2017-2019,Count,Thousand Visits,124,Scotland,Visits
Dundee City,2011-2013,Count,Thousand Visits,118,England,Visits
Dundee City,2017-2019,Count,million pounds (GBP),23,Scotland,Expenditure
Dundee City,2017-2019,Count,million pounds (GBP),46,All of GB,Expenditure
Dundee City,2009-2011,Count,Thousand Nights,455,England,Nights
Dundee City,2011-2013,Count,million pounds (GBP),46,All of GB,Expenditure
Dundee City,2009-2011,Count,Thousand Visits,186,Scotland,Visits
Dundee City,2015-2017,Count,million pounds (GBP),27,England,Expenditure
Dundee City,2012-2014,Count,million pounds (GBP),31,England,Expenditure
Dundee City,2012-2014,Count,Thousand Visits,147,Scotland,Visits
Dundee City,2010-2012,Count,million pounds (GBP),21,Scotland,Expenditure
Dundee City,2013-2015,Count,million pounds (GBP),46,All of GB,Expenditure
Dundee City,2011-2013,Count,Thousand Nights,414,Scotland,Nights
Dundee City,2010-2012,Count,Thousand Nights,391,England,Nights
Dundee City,2009-2011,Count,million pounds (GBP),19,Scotland,Expenditure
Dundee City,2013-2015,Count,Thousand Visits,232,All of GB,Visits
Dundee City,2010-2012,Count,Thousand Visits,191,Scotland,Visits
Dundee City,2015-2017,Count,Thousand Nights,476,England,Nights
Dundee City,2012-2014,Count,Thousand Nights,404,England,Nights
Dundee City,2016-2018,Count,Thousand Visits,99,Scotland,Visits
Dundee City,2011-2013,Count,Thousand Visits,306,All of GB,Visits
Dundee City,2009-2011,Count,Thousand Nights,902,All of GB,Nights
Dundee City,2016-2018,Count,Thousand Nights,772,All of GB,Nights
Dundee City,2010-2012,Count,million pounds (GBP),24,England,Expenditure
Dundee City,2016-2018,Count,million pounds (GBP),19,Scotland,Expenditure
Dundee City,2017-2019,Count,Thousand Nights,368,England,Nights
Dundee City,2014-2016,Count,million pounds (GBP),24,England,Expenditure
Dundee City,2014-2016,Count,million pounds (GBP),22,Scotland,Expenditure
Dundee City,2010-2012,Count,Thousand Nights,449,Scotland,Nights
Dundee City,2016-2018,Count,Thousand Visits,114,England,Visits
Dundee City,2011-2013,Count,million pounds (GBP),27,England,Expenditure
Dundee City,2015-2017,Count,Thousand Nights,230,Scotland,Nights
Dundee City,2017-2019,Count,Thousand Nights,319,Scotland,Nights
Dundee City,2012-2014,Count,Thousand Nights,286,Scotland,Nights
Dundee City,2016-2018,Count,million pounds (GBP),27,England,Expenditure
Dundee City,2016-2018,Count,Thousand Nights,273,Scotland,Nights
Dundee City,2010-2012,Count,Thousand Visits,320,All of GB,Visits
Dundee City,2014-2016,Count,Thousand Nights,666,All of GB,Nights
Dundee City,2009-2011,Count,Thousand Nights,438,Scotland,Nights
Dundee City,2010-2012,Count,Thousand Nights,848,All of GB,Nights
Dundee City,2009-2011,Count,million pounds (GBP),21,England,Expenditure
Dundee City,2015-2017,Count,Thousand Visits,90,Scotland,Visits
Dundee City,2012-2014,Count,Thousand Visits,276,All of GB,Visits
Dundee City,2013-2015,Count,Thousand Nights,259,Scotland,Nights
Dundee City,2009-2011,Count,Thousand Visits,114,England,Visits
Dundee City,2013-2015,Count,Thousand Nights,612,All of GB,Nights
Dundee City,2016-2018,Count,Thousand Visits,218,All of GB,Visits
Dundee City,2009-2011,Count,Thousand Visits,305,All of GB,Visits
Dundee City,2014-2016,Count,Thousand Nights,419,England,Nights
Dundee City,2014-2016,Count,million pounds (GBP),48,All of GB,Expenditure
Dundee City,2011-2013,Count,Thousand Nights,359,England,Nights
Dundee City,2009-2011,Count,million pounds (GBP),40,All of GB,Expenditure
Dundee City,2013-2015,Count,Thousand Visits,98,England,Visits
Dundee City,2013-2015,Count,Thousand Visits,131,Scotland,Visits
Dundee City,2012-2014,Count,Thousand Visits,127,England,Visits
Dundee City,2011-2013,Count,Thousand Visits,186,Scotland,Visits
Dundee City,2010-2012,Count,Thousand Visits,124,England,Visits
Dundee City,2011-2013,Count,Thousand Nights,779,All of GB,Nights
Dundee City,2012-2014,Count,million pounds (GBP),53,All of GB,Expenditure
Dundee City,2011-2013,Count,million pounds (GBP),19,Scotland,Expenditure
Dundee City,2012-2014,Count,Thousand Nights,696,All of GB,Nights
Dundee City,2015-2017,Count,Thousand Visits,218,All of GB,Visits
Dundee City,2017-2019,Count,Thousand Visits,222,All of GB,Visits
Dundee City,2016-2018,Count,million pounds (GBP),46,All of GB,Expenditure
Dundee City,2014-2016,Count,Thousand Nights,225,Scotland,Nights
Dundee City,2013-2015,Count,Thousand Nights,339,England,Nights
Dundee City,2017-2019,Count,Thousand Nights,691,All of GB,Nights
Dundee City,2015-2017,Count,Thousand Nights,727,All of GB,Nights
Dundee City,2017-2019,Count,million pounds (GBP),22,England,Expenditure
Dundee City,2014-2016,Count,Thousand Visits,123,England,Visits
Dundee City,2015-2017,Count,million pounds (GBP),15,Scotland,Expenditure
Dundee City,2012-2014,Count,million pounds (GBP),22,Scotland,Expenditure
Dundee City,2014-2016,Count,Thousand Visits,247,All of GB,Visits
Dundee City,2015-2017,Count,million pounds (GBP),44,All of GB,Expenditure
Dundee City,2014-2016,Count,Thousand Visits,116,Scotland,Visits
Dundee City,2016-2018,Count,Thousand Nights,490,England,Nights
Dundee City,2013-2015,Count,million pounds (GBP),20,Scotland,Expenditure
Dundee City,2015-2017,Count,Thousand Visits,120,England,Visits
Dundee City,2013-2015,Count,million pounds (GBP),25,England,Expenditure
East Dunbartonshire,2016-2018,Count,Thousand Visits,0,England,Visits
East Dunbartonshire,2017-2019,Count,Thousand Nights,3,England,Nights
East Dunbartonshire,2009-2011,Count,Thousand Visits,10,Scotland,Visits
East Dunbartonshire,2013-2015,Count,Thousand Visits,0,England,Visits
East Dunbartonshire,2012-2014,Count,Thousand Visits,7,England,Visits
East Dunbartonshire,2016-2018,Count,Thousand Nights,0,England,Nights
East Dunbartonshire,2009-2011,Count,Thousand Nights,22,Scotland,Nights
East Dunbartonshire,2009-2011,Count,Thousand Visits,10,All of GB,Visits
East Dunbartonshire,2011-2013,Count,Thousand Visits,20,All of GB,Visits
East Dunbartonshire,2011-2013,Count,Thousand Visits,7,England,Visits
East Dunbartonshire,2014-2016,Count,Thousand Visits,3,Scotland,Visits
East Dunbartonshire,2011-2013,Count,Thousand Nights,14,England,Nights
East Dunbartonshire,2010-2012,Count,Thousand Visits,7,England,Visits
East Dunbartonshire,2014-2016,Count,million pounds (GBP),0,Scotland,Expenditure
East Dunbartonshire,2015-2017,Count,million pounds (GBP),0,Scotland,Expenditure
East Dunbartonshire,2009-2011,Count,million pounds (GBP),0,England,Expenditure
East Dunbartonshire,2016-2018,Count,million pounds (GBP),0,All of GB,Expenditure
East Dunbartonshire,2013-2015,Count,Thousand Visits,3,Scotland,Visits
East Dunbartonshire,2014-2016,Count,Thousand Nights,0,England,Nights
East Dunbartonshire,2013-2015,Count,million pounds (GBP),0,Scotland,Expenditure
East Dunbartonshire,2015-2017,Count,Thousand Visits,0,Scotland,Visits
East Dunbartonshire,2015-2017,Count,Thousand Visits,0,England,Visits
East Dunbartonshire,2017-2019,Count,Thousand Nights,18,Scotland,Nights
East Dunbartonshire,2009-2011,Count,million pounds (GBP),1,Scotland,Expenditure
East Dunbartonshire,2017-2019,Count,Thousand Nights,21,All of GB,Nights
East Dunbartonshire,2012-2014,Count,Thousand Visits,15,All of GB,Visits
East Dunbartonshire,2009-2011,Count,Thousand Visits,0,England,Visits
East Dunbartonshire,2011-2013,Count,million pounds (GBP),1,England,Expenditure
East Dunbartonshire,2017-2019,Count,million pounds (GBP),0,England,Expenditure
East Dunbartonshire,2016-2018,Count,Thousand Nights,0,All of GB,Nights
East Dunbartonshire,2010-2012,Count,million pounds (GBP),1,England,Expenditure
East Dunbartonshire,2015-2017,Count,Thousand Nights,0,Scotland,Nights
East Dunbartonshire,2011-2013,Count,Thousand Nights,46,All of GB,Nights
East Dunbartonshire,2017-2019,Count,Thousand Visits,7,All of GB,Visits
East Dunbartonshire,2015-2017,Count,Thousand Visits,0,All of GB,Visits
East Dunbartonshire,2013-2015,Count,million pounds (GBP),0,All of GB,Expenditure
East Dunbartonshire,2009-2011,Count,million pounds (GBP),1,All of GB,Expenditure
East Dunbartonshire,2016-2018,Count,million pounds (GBP),0,England,Expenditure
East Dunbartonshire,2012-2014,Count,Thousand Nights,14,England,Nights
East Dunbartonshire,2012-2014,Count,million pounds (GBP),1,All of GB,Expenditure
East Dunbartonshire,2016-2018,Count,Thousand Visits,0,Scotland,Visits
East Dunbartonshire,2009-2011,Count,Thousand Nights,22,All of GB,Nights
East Dunbartonshire,2015-2017,Count,million pounds (GBP),0,England,Expenditure
East Dunbartonshire,2011-2013,Count,million pounds (GBP),2,All of GB,Expenditure
East Dunbartonshire,2010-2012,Count,Thousand Visits,13,Scotland,Visits
East Dunbartonshire,2010-2012,Count,Thousand Nights,14,England,Nights
East Dunbartonshire,2012-2014,Count,Thousand Nights,22,Scotland,Nights
East Dunbartonshire,2011-2013,Count,Thousand Visits,13,Scotland,Visits
East Dunbartonshire,2014-2016,Count,million pounds (GBP),0,All of GB,Expenditure
East Dunbartonshire,2013-2015,Count,Thousand Visits,3,All of GB,Visits
East Dunbartonshire,2014-2016,Count,Thousand Visits,0,England,Visits
East Dunbartonshire,2017-2019,Count,Thousand Visits,5,Scotland,Visits
East Dunbartonshire,2017-2019,Count,million pounds (GBP),1,All of GB,Expenditure
East Dunbartonshire,2010-2012,Count,million pounds (GBP),1,Scotland,Expenditure
East Dunbartonshire,2014-2016,Count,Thousand Visits,3,All of GB,Visits
East Dunbartonshire,2014-2016,Count,Thousand Nights,3,Scotland,Nights
East Dunbartonshire,2012-2014,Count,Thousand Nights,35,All of GB,Nights
East Dunbartonshire,2012-2014,Count,million pounds (GBP),1,Scotland,Expenditure
East Dunbartonshire,2013-2015,Count,Thousand Nights,3,All of GB,Nights
East Dunbartonshire,2011-2013,Count,million pounds (GBP),1,Scotland,Expenditure
East Dunbartonshire,2015-2017,Count,million pounds (GBP),0,All of GB,Expenditure
East Dunbartonshire,2013-2015,Count,Thousand Nights,0,England,Nights
East Dunbartonshire,2016-2018,Count,Thousand Visits,0,All of GB,Visits
East Dunbartonshire,2010-2012,Count,Thousand Nights,46,All of GB,Nights
East Dunbartonshire,2015-2017,Count,Thousand Nights,0,All of GB,Nights
East Dunbartonshire,2009-2011,Count,Thousand Nights,0,England,Nights
East Dunbartonshire,2013-2015,Count,Thousand Nights,3,Scotland,Nights
East Dunbartonshire,2017-2019,Count,million pounds (GBP),1,Scotland,Expenditure
East Dunbartonshire,2010-2012,Count,million pounds (GBP),2,All of GB,Expenditure
East Dunbartonshire,2017-2019,Count,Thousand Visits,3,England,Visits
East Dunbartonshire,2014-2016,Count,Thousand Nights,3,All of GB,Nights
East Dunbartonshire,2014-2016,Count,million pounds (GBP),0,England,Expenditure
East Dunbartonshire,2015-2017,Count,Thousand Nights,0,England,Nights
East Dunbartonshire,2012-2014,Count,Thousand Visits,8,Scotland,Visits
East Dunbartonshire,2016-2018,Count,million pounds (GBP),0,Scotland,Expenditure
East Dunbartonshire,2013-2015,Count,million pounds (GBP),0,England,Expenditure
East Dunbartonshire,2016-2018,Count,Thousand Nights,0,Scotland,Nights
East Dunbartonshire,2010-2012,Count,Thousand Visits,20,All of GB,Visits
East Dunbartonshire,2011-2013,Count,Thousand Nights,32,Scotland,Nights
East Dunbartonshire,2012-2014,Count,million pounds (GBP),1,England,Expenditure
East Dunbartonshire,2010-2012,Count,Thousand Nights,32,Scotland,Nights
Fife,2013-2015,Count,Thousand Visits,224,England,Visits
Fife,2013-2015,Count,Thousand Nights,1577,All of GB,Nights
Fife,2015-2017,Count,million pounds (GBP),39,Scotland,Expenditure
Fife,2010-2012,Count,million pounds (GBP),39,Scotland,Expenditure
Fife,2009-2011,Count,Thousand Nights,836,Scotland,Nights
Fife,2016-2018,Count,Thousand Nights,717,Scotland,Nights
Fife,2012-2014,Count,Thousand Nights,730,Scotland,Nights
Fife,2014-2016,Count,Thousand Nights,729,England,Nights
Fife,2017-2019,Count,Thousand Visits,344,Scotland,Visits
Fife,2015-2017,Count,Thousand Nights,870,England,Nights
Fife,2012-2014,Count,Thousand Visits,282,Scotland,Visits
Fife,2012-2014,Count,Thousand Visits,213,England,Visits
Fife,2011-2013,Count,Thousand Nights,824,England,Nights
Fife,2010-2012,Count,Thousand Visits,180,England,Visits
Fife,2012-2014,Count,million pounds (GBP),39,Scotland,Expenditure
Fife,2017-2019,Count,million pounds (GBP),57,England,Expenditure
Fife,2010-2012,Count,Thousand Visits,470,All of GB,Visits
Fife,2014-2016,Count,million pounds (GBP),37,Scotland,Expenditure
Fife,2013-2015,Count,Thousand Visits,303,Scotland,Visits
Fife,2015-2017,Count,Thousand Visits,241,England,Visits
Fife,2011-2013,Count,Thousand Nights,600,Scotland,Nights
Fife,2009-2011,Count,Thousand Visits,534,All of GB,Visits
Fife,2017-2019,Count,Thousand Nights,1853,All of GB,Nights
Fife,2016-2018,Count,Thousand Visits,540,All of GB,Visits
Fife,2009-2011,Count,Thousand Nights,1116,England,Nights
Fife,2009-2011,Count,million pounds (GBP),48,England,Expenditure
Fife,2016-2018,Count,million pounds (GBP),39,Scotland,Expenditure
Fife,2011-2013,Count,million pounds (GBP),33,Scotland,Expenditure
Fife,2014-2016,Count,Thousand Nights,788,Scotland,Nights
Fife,2010-2012,Count,Thousand Visits,285,Scotland,Visits
Fife,2014-2016,Count,Thousand Visits,238,England,Visits
Fife,2017-2019,Count,Thousand Nights,875,Scotland,Nights
Fife,2013-2015,Count,Thousand Visits,528,All of GB,Visits
Fife,2010-2012,Count,million pounds (GBP),84,All of GB,Expenditure
Fife,2012-2014,Count,million pounds (GBP),55,England,Expenditure
Fife,2014-2016,Count,Thousand Visits,530,All of GB,Visits
Fife,2013-2015,Count,Thousand Nights,832,Scotland,Nights
Fife,2016-2018,Count,Thousand Visits,299,Scotland,Visits
Fife,2014-2016,Count,Thousand Nights,1546,All of GB,Nights
Fife,2014-2016,Count,Thousand Visits,286,Scotland,Visits
Fife,2016-2018,Count,million pounds (GBP),53,England,Expenditure
Fife,2012-2014,Count,million pounds (GBP),94,All of GB,Expenditure
Fife,2017-2019,Count,million pounds (GBP),54,Scotland,Expenditure
Fife,2017-2019,Count,million pounds (GBP),112,All of GB,Expenditure
Fife,2011-2013,Count,Thousand Visits,250,Scotland,Visits
Fife,2015-2017,Count,Thousand Nights,802,Scotland,Nights
Fife,2014-2016,Count,million pounds (GBP),85,All of GB,Expenditure
Fife,2013-2015,Count,Thousand Nights,745,England,Nights
Fife,2009-2011,Count,Thousand Nights,1972,All of GB,Nights
Fife,2017-2019,Count,Thousand Visits,571,All of GB,Visits
Fife,2012-2014,Count,Thousand Nights,737,England,Nights
Fife,2009-2011,Count,million pounds (GBP),88,All of GB,Expenditure
Fife,2016-2018,Count,Thousand Nights,877,England,Nights
Fife,2013-2015,Count,million pounds (GBP),51,England,Expenditure
Fife,2012-2014,Count,Thousand Nights,1466,All of GB,Nights
Fife,2013-2015,Count,million pounds (GBP),89,All of GB,Expenditure
